feature,importance,group
categorical__team_BRAV,0.0,team
categorical__team_BRH,0.0,team
categorical__team_BRIC,0.0,team
categorical__team_BRK,0.0,team
categorical__team_BRN,0.0,team
categorical__team_BSG,0.0,team
categorical__team_BST,0.0,team
categorical__team_BSTL,0.0,team
categorical__team_BSTR,0.0,team
categorical__team_BT,0.0,team
categorical__team_BTF,0.0,team
categorical__team_BTR,0.0,team
categorical__team_BTS,0.0,team
categorical__team_BTW,0.0,team
categorical__team_BUYK,0.0,team
categorical__team_BW,0.0,team
categorical__team_BWL,0.0,team
categorical__team_BX,0.0,team
categorical__team_BYE,0.0,team
categorical__team_BZE,0.0,team
categorical__team_BZK,0.0,team
categorical__team_BZR,0.0,team
categorical__team_Baba,0.0,team
categorical__team_Babi,0.0,team
categorical__team_Baby,0.0,team
categorical__team_Bad,0.0,team
categorical__team_BadLeg,0.0,team
categorical__team_Badd,0.0,team
categorical__team_Baec,0.0,team
categorical__team_Bait,0.0,team
categorical__team_Bald,0.0,team
categorical__team_Balk,0.0,team
categorical__team_Band,0.0,team
categorical__team_Bang,0.0,team
categorical__team_Bare,0.0,team
categorical__team_Bart,0.0,team
categorical__team_Baru,0.0,team
categorical__team_Bbal,0.0,team
categorical__team_BeFr,0.0,team
categorical__team_Beag,0.0,team
categorical__team_Ben1,0.0,team
categorical__team_BezB,0.0,team
categorical__team_Bi e,0.0,team
categorical__team_Bibl,0.0,team
categorical__team_Bifr,0.0,team
categorical__team_Big,0.0,team
categorical__team_Bill,0.0,team
categorical__team_Bing,0.0,team
categorical__team_Blac,0.0,team
categorical__team_Bob,0.0,team
categorical__team_Bomb,0.0,team
categorical__team_Bond,0.0,team
categorical__team_Bons,0.0,team
categorical__team_Boos,0.0,team
categorical__team_Born,0.0,team
categorical__team_Bott,0.0,team
categorical__team_Boun,0.0,team
categorical__team_Br7,0.0,team
categorical__team_Brai,0.0,team
categorical__team_Brax,0.0,team
categorical__team_Brim,0.0,team
categorical__team_Budg,0.0,team
categorical__team_Buff,0.0,team
categorical__team_Buil,0.0,team
categorical__team_Bull,0.0,team
categorical__team_Bunk,0.0,team
categorical__team_Burg,0.0,team
categorical__team_Burs,0.0,team
categorical__team_Butt,0.0,team
categorical__team_BuyH,0.0,team
categorical__team_BÉZ,0.0,team
categorical__team_Bë,0.0,team
categorical__team_Bún,0.0,team
categorical__team_C SI,0.0,team
categorical__team_C4,0.0,team
categorical__team_C9,0.0,team
categorical__team_C9W,0.0,team
categorical__team_CAD,0.0,team
categorical__team_CAG,0.0,team
categorical__team_CAP,0.0,team
categorical__team_CARS,0.0,team
categorical__team_CASE,0.0,team
categorical__team_CASS,0.0,team
categorical__team_CATG,0.0,team
categorical__team_CBD,0.0,team
categorical__team_CBDR,0.0,team
categorical__team_CBR,0.0,team
categorical__team_CBT,0.0,team
categorical__team_CC,0.0,team
categorical__team_CCG,0.0,team
categorical__team_CD,0.0,team
categorical__team_CE,0.0,team
