team,count,mean,median
Enmi,15,0.9486666666666667,0.99
lanc,15,0.9486666666666667,1.02
Evol,20,0.9484999999999999,0.9
ARMU,25,0.948,0.99
EDG,240,0.9477083333333333,0.92
Olym,50,0.9476,0.815
FG,35,0.9474285714285713,0.97
Play,20,0.9465,0.78
DELU,35,0.9462857142857142,0.84
TLS,15,0.946,0.93
1gam,45,0.9453333333333334,0.92
B13,60,0.9451666666666667,0.945
GX,685,0.9451532846715328,0.96
driv,50,0.945,0.9
INFS,15,0.9440000000000001,0.95
DTG,55,0.9440000000000001,0.85
EX-K,30,0.9440000000000001,0.94
el b,45,0.944,0.92
FRTS,35,0.9437142857142857,0.93
MC,30,0.9436666666666668,0.9
tp2luz,15,0.9433333333333334,0.86
GE,45,0.943111111111111,0.91
HorY,40,0.943,0.915
Scha,40,0.943,0.93
meme,10,0.943,0.975
STEP,40,0.94275,0.9450000000000001
Viel,10,0.942,0.9550000000000001
1234,35,0.9417142857142857,0.85
BRK,20,0.9415000000000001,0.975
ITB,35,0.9408571428571428,1.01
SUPD,20,0.9390000000000001,0.72
Hasb,30,0.9386666666666666,0.96
Yaku,20,0.9385,0.9299999999999999
SQ,20,0.9385,0.94
Erro,30,0.9383333333333332,1.025
KRÜ,240,0.937875,0.91
GV,25,0.9375999999999999,0.89
Leca,25,0.9372,0.91
FlyM,45,0.9366666666666666,0.98
locu,35,0.9365714285714286,0.85
Abov,30,0.9363333333333334,0.89
Gran,45,0.9359999999999999,0.92
Soul,40,0.9359999999999999,0.95
Flas,100,0.9357,0.925
VAMO,35,0.9354285714285715,0.91
LEGI,10,0.9349999999999999,1.0
ŞAK,25,0.9348000000000001,0.97
Cybe,40,0.9345000000000001,0.915
anime,5,0.9339999999999999,0.87
ExO,20,0.933,0.95
Budg,25,0.9328,0.88
AG,230,0.9325217391304348,0.91
NEBU,55,0.9321818181818182,0.88
7AM,10,0.932,0.88
ETER,25,0.932,0.85
NsG,40,0.9317500000000001,0.92
nuBo,25,0.9304000000000001,0.84
TMSPACE,20,0.9289999999999999,1.02
ULUG,15,0.9286666666666666,0.89
InTe,35,0.9282857142857144,0.92
TOSP,40,0.92825,0.835
OSK,15,0.928,0.9
Meat,10,0.9279999999999999,0.97
Init,25,0.9272,0.82
DRG,45,0.9268888888888889,0.91
XIA,90,0.9264444444444444,0.92
onli,20,0.9259999999999999,0.9550000000000001
Wins,25,0.9256,0.86
OGLU,105,0.9252380952380953,0.91
Sile,25,0.9251999999999999,0.85
NU,55,0.9250909090909092,0.94
DRM,20,0.9244999999999999,0.915
Need,35,0.9242857142857144,1.09
Unde,60,0.9239999999999999,0.865
Perf,25,0.9236,0.94
Tala,25,0.9231999999999999,0.87
psyh,10,0.923,0.9550000000000001
MALL,15,0.922,0.98
RED,10,0.921,0.955
Alph,10,0.921,1.0350000000000001
NaVi,10,0.9209999999999999,0.985
Maso,45,0.9199999999999999,0.88
Sapl,35,0.9197142857142856,0.97
Dora,10,0.9190000000000002,0.855
FUR,85,0.9188235294117646,0.92
Bart,15,0.9179999999999999,0.96
010,10,0.9179999999999999,0.885
SPL,45,0.9173333333333333,0.88
FOXU,25,0.9168,0.89
HLRS,15,0.9166666666666666,0.9
Dajj,25,0.9164,0.91
BEDE,30,0.9163333333333333,0.905
GOOD,45,0.9162222222222223,0.84
Temp,10,0.916,0.9299999999999999
Myth,43,0.9153488372093023,0.9
SzG,40,0.91525,0.965
Kara,20,0.9145,0.865
5 GO,25,0.914,0.87
Falc,45,0.914,0.88
Exer,25,0.914,0.89
TRG,40,0.91375,0.94
Whit,15,0.9126666666666666,0.95
qz,40,0.9125,0.87
MLE,45,0.9122222222222222,0.86
Z-Ma,25,0.912,0.88
Navy,35,0.9117142857142857,0.86
EU R,20,0.9115,0.845
Feng,25,0.9112,0.95
Reac,10,0.9109999999999999,0.99
chil,30,0.9109999999999999,0.845
Luce,20,0.9105000000000001,0.855
404,55,0.9103636363636364,0.88
DEVI,15,0.91,0.86
BLG,65,0.91,0.91
brat,10,0.9099999999999999,0.995
312,10,0.909,0.92
OW,65,0.9087692307692308,0.93
Flie,20,0.9085000000000001,0.94
Koud,5,0.908,0.88
KING,40,0.90675,0.88
NEXT,25,0.9064,0.93
OPY,35,0.906,0.92
FRA,5,0.906,0.75
PCF,220,0.9057272727272727,0.89
IK,15,0.904,0.92
Vict,45,0.9037777777777778,0.85
41rk,20,0.9035,1.01
TES,50,0.9031999999999999,0.91
bigm,20,0.9029999999999999,0.88
Knoc,35,0.9022857142857144,0.93
Inte,45,0.9022222222222223,0.85
Uniq,55,0.9021818181818181,0.94
NGF,65,0.9012307692307692,0.89
Aete,40,0.901,0.87
